,movie_id,studio_producer,directors,authors,production_company
120,,Columbia,George Cukor,Albert Mannheimer,Columbia Pictures
121,,Metro-Goldwyn-Mayer,Vincente Minnelli,"Frances Goodrich, Albert Hackett",MGM
122,,Metro-Goldwyn-Mayer,"Compton Bennett, Andrew Marton","Helen Deutsch, Compton Bennett, Andrew Marton",MGM Home Entertainment
123,,Paramount,Billy Wilder,"D.M. Marshman, Jr., Charles Brackett, Billy Wilder",Paramount Pictures
124,,Arthur Freed,Vincente Minnelli,"Alan Jay Lerner, Vincente Minnelli",MGM
125,,Anatole Litvak and Frank McCarthy,Anatole Litvak,Peter Viertel,20th Century Fox Film Corporation
126,,George Stevens,George Stevens,"Michael Wilson, Harry Brown",Paramount Pictures
127,,Charles K. Feldman,Elia Kazan,"Tennessee Williams, Oscar Saul",Warner Bros. Pictures
128,,Cecil B. DeMille,Cecil B. DeMille,"Fredric M. Frank, Barré Lyndon, Theodore St. John, Frank Cavett",Paramount Pictures
129,,Stanley Kramer,Fred Zinnemann,Carl Foreman,United Artists
130,,Pandro S. Berman,Richard Thorpe,"Noel Langley, Aeneas MacKenzie",MGM Home Entertainment
131,,"John Huston, John Woolf and James Woolf",John Huston,"Anthony Veiller, John Huston",United Artists
132,,John Ford and Merian C. Cooper,John Ford,"Frank S. Nugent, Richard Llewellyn",Republic Pictures
133,,Buddy Adler,Fred Zinnemann,Daniel Taradash,NCM Fathom
134,,John Houseman,Joseph L. Mankiewicz,Joseph L. Mankiewicz,MGM Home Entertainment
135,,Frank Ross,Henry Koster,"Philip Dunne, Albert Maltz, Gina Kaus",20th Century Fox
136,,William Wyler,William Wyler,"John Dighton, Ian McLellan Hunter, Dalton Trumbo, William Wyler",Paramount Pictures
137,,George Stevens,George Stevens,"A.B. Guthrie Jr., Jack Sher",Paramount Home Video
138,,Sam Spiegel,Elia Kazan,Budd Schulberg,Sony Pictures
139,,Stanley Kramer,Edward Dmytryk,"Stanley Roberts, Michael Blankfort",Sony Pictures Home Entertainment
140,,William Perlberg,George Seaton,George Seaton,Paramount Pictures
141,,Jack Cummings,Stanley Donen,"Albert Hackett, Frances Goodrich, Dorothy Kingsley",MGM Home Entertainment
142,,Sol C. Siegel,Jean Negulesco,John Patrick,20th Century Fox Film Corporation
143,,Harold Hecht,Delbert Mann,Paddy Chayefsky,MGM Home Entertainment
144,,Leland Hayward,"John Ford, Mervyn LeRoy","Frank S. Nugent, Joshua Logan",Warner Home Video
145,,Fred Kohlmar,Joshua Logan,Daniel Taradash,Sony Pictures Home Entertainment
146,,Hal B. Wallis,Daniel Mann,"Tennessee Williams, Hal Kanter",Paramount Pictures
147,,Michael Todd,Michael Anderson,"John Farrow, James Poe, S.J. Perelman",United Artists
148,,William Wyler,William Wyler,Michael Wilson,Twentieth Century Fox Home Entertainment
149,,George Stevens and Henry Ginsberg,George Stevens,"Fred Guiol, Ivan Moffat",Warner Bros. Pictures
150,,Charles Brackett,Walter Lang,Ernest Lehman,20th Century Fox
151,,Cecil B. DeMille,Cecil B. DeMille,"Jesse L. Lasky, Aeneas MacKenzie, Fredric M. Frank, Jack Gariss, Jesse Lasky Jr.",Paramount Pictures
152,,Sam Spiegel,David Lean,"Michael Wilson, Carl Foreman",Columbia Pictures
153,,Jerry Wald,Mark Robson,John Michael Hayes,20th Century Fox
154,,Arthur Hornblow Jr.,Billy Wilder,"Billy Wilder, Lawrence B. Marcus, Harry Kurnitz",MGM
155,,Arthur Freed,Vincente Minnelli,"Alan Jay Lerner, Frederick Loewe",MGM Home Entertainment
156,,Jack L. Warner,Morton DaCosta,"Betty Comden, Adolph Green, Robert E. Lee, Dennis Patrick",Warner Bros. Pictures
157,,Stanley Kramer,Stanley Kramer,"Harold Jacob Smith, Ned Young, Nathan E. Douglas",MGM Home Entertainment
158,,Harold Hecht,Delbert Mann,"John Gay, Terence Rattigan",MGM Home Entertainment
159,,Sam Zimbalist,William Wyler,Karl Tunberg,MGM
160,,Otto Preminger,Otto Preminger,Wendell Mayes,Sony Pictures Home Entertainment
161,,George Stevens,George Stevens,"Albert Hackett, Frances Goodrich",Fox
162,,Henry Blanke,Fred Zinnemann,Robert Anderson,Warner Home Video
163,30488,Billy Wilder,Billy Wilder,"Billy Wilder, I.A.L. Diamond",United Artists
164,,John Wayne,John Wayne,James Edward Grant,Batjac Productions
165,,Fred Zinnemann,Fred Zinnemann,Isobel Lennart,Warner Home Video
166,,Robert Wise,"Robert Wise, Jerome Robbins",Ernest Lehman,United Artists Films
167,,Carl Foreman,J. Lee Thompson,"J. Lee Thompson, Carl Foreman",Columbia Pictures
168,,Robert Rossen,Robert Rossen,"Sidney Carroll, Robert Rossen",Fox
169,,Sam Spiegel,David Lean,"Robert Bolt, Michael Wilson",Columbia Pictures
170,,Darryl F. Zanuck,"Ken Annakin, Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck","Cornelius Ryan, David Pursall, James Jones, Jack Seddon, Romain Gary",Twentieth Century Fox Home Entertainment
171,,Morton DaCosta,Morton DaCosta,Marion Hargrove,Warner Bros. Pictures
172,,Aaron Rosenberg,"Lewis Milestone, Carol Reed",Charles Lederer,WARNER BROTHERS PICTURES
173,,Tony Richardson,Tony Richardson,John Osborne,Woodfall Film Productions
174,,Elia Kazan,Elia Kazan,Elia Kazan,Warner Home Video
175,,Walter Wanger,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Ranald MacDougall, Sidney Buchman",20th Century Fox
176,,Ralph Nelson,Ralph Nelson,James Poe,Twentieth Century Fox Home Entertainment
177,,Hal B. Wallis,Peter Glenville,"Edward Anhalt, Jean Anouilh",Slowhand Releasing
178,,Walt Disney and Bill Walsh,Robert Stevenson,"Don DaGradi, Bill Walsh",Walt Disney Productions
179,,Michael Cacoyannis,,,Fox
180,,Robert Wise,Robert Wise,Ernest Lehman,20th Century-Fox
181,4812,Joseph Janni,John Schlesinger,Frederic Raphael,Lionsgate
182,7529,Joseph Janni,John Schlesinger,Frederic Raphael,Lionsgate
183,10398,Joseph Janni,John Schlesinger,Frederic Raphael,Lionsgate
184,,Carlo Ponti,David Lean,Robert Bolt,MGM
185,,Stanley Kramer,Stanley Kramer,"Abby Mann, Stanley Kramer",Columbia Pictures
186,,Fred Zinnemann,Fred Zinnemann,"Robert Bolt, Constance Willis",Sony Pictures Home Entertainment
187,,Lewis Gilbert,Lewis Gilbert,Bill Naughton,Paramount Pictures
188,,Norman Jewison,Norman Jewison,"William Rose, Nathaniel Benchley",MGM
189,,Robert Wise,Robert Wise,Robert Anderson,Twentieth Century Fox Home Entertainment
190,,Ernest Lehman,Mike Nichols,Ernest Lehman,Warner Home Video
191,,Walter Mirisch,Norman Jewison,"Stirling Silliphant, Sterling Silliphant",MGM
192,,Warren Beatty,Arthur Penn,"David Newman, Robert Benton",Warner Brothers/Seven Arts
193,,Arthur P. Jacobs,Richard Fleischer,Leslie Bricusse,20th Century Fox
194,,Lawrence Turman,Mike Nichols,"Calder Willingham, Buck Henry",Embassy Pictures/Rialto Pictures
195,,Stanley Kramer,Stanley Kramer,William Rose,Columbia Pictures Corporation
196,,John Woolf,Carol Reed,"Vernon Harris, Lionel Bart, Vernon Gilbert Harris",Sony Pictures Home Entertainment
197,,Ray Stark,William Wyler,"Isobel Lennart, Jule Styne, Bob Merrill",Columbia Pictures
198,,Martin Poll,Anthony Harvey,James Goldman,Nelson Entertainment
199,,Paul Newman,Paul Newman,Stewart Stern,Warner Bros.
200,,Anthony Havelock-Allan and John Brabourne,Franco Zeffirelli,"Franco Zeffirelli, Masolino D'Amico, Franco Brusati",Paramount Home Video
201,,Jerome Hellman,John Schlesinger,Waldo Salt,United Artists
202,,Hal B. Wallis,Charles Jarrott,"John Boland, Bridget Boland, John Hale, Richard Sokolove",Universal Pictures
203,,John Foreman,George Roy Hill,"William Goldman, George Roy Hill",20th Century Fox
204,,Ernest Lehman,Gene Kelly,Ernest Lehman,20th Century Fox
205,897,Jacques Perrin and Ahmed Rachedi,Costa-Gavras,"Jorge Semprún, Costa-Gavras",Rialto Pictures
206,13669,Jacques Perrin and Ahmed Rachedi,Costa-Gavras,"Jorge Semprún, Costa-Gavras",Rialto Pictures
207,23147,Jacques Perrin and Ahmed Rachedi,Costa-Gavras,"Jorge Semprún, Costa-Gavras",Rialto Pictures
208,,Frank McCarthy,Franklin J. Schaffner,"Francis Ford Coppola, Edmund H. North",Twentieth Century Fox Home Entertainment
209,,Ross Hunter,"George Seaton, Henry Hathaway",George Seaton,Universal Pictures
210,,Bob Rafelson and Richard Wechsler,"Bob Rafelson, Dennis Hopper","Adrien Joyce, Carole Eastman, Bob Rafelson",Columbia Pictures
211,,Howard G. Minsky,Arthur Hiller,Erich Segal,Paramount Pictures
212,,Ingo Preminger,Robert Altman,Ring Lardner Jr.,20th Century Fox
213,,Philip D'Antoni,William Friedkin,Ernest Tidyman,20th Century Fox
214,,Stanley Kubrick,Stanley Kubrick,Stanley Kubrick,Warner Bros.
215,,Norman Jewison,Norman Jewison,Joseph Stein,United Artists
216,,Stephen J. Friedman,Peter Bogdanovich,"Peter Bogdanovich, Larry McMurtry",Columbia Pictures
217,,Sam Spiegel,Franklin J. Schaffner,"James Goldman, Edward Bond",Sony Pictures Home Entertainment
218,,Albert S. Ruddy,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo",Paramount Pictures
219,,Cy Feuer,Bob Fosse,"Jay Presson Allen, Hugh Wheeler",Twentieth Century Fox Home Entertainment
220,,John Boorman,John Boorman,"James Dickey, Dale Dye",Warner Bros.
221,,"Tony Bill, Michael Phillips, and Julia Phillips",George Roy Hill,"David S. Ward, Marvin Hamlisch",Universal Pictures
222,,Francis Ford Coppola and Gary Kurtz,George Lucas,"George Lucas, Gloria Katz, Willard Huyck",Universal Pictures
223,,Ingmar Bergman,Ingmar Bergman,Ingmar Bergman,Criterion Collection
224,116,William Peter Blatty,William Friedkin,William Peter Blatty,Warner Bros. Pictures
225,,Melvin Frank,Melvin Frank,"Jack Rose, Melvin Frank",Media Home Entertainment
226,,Robert Evans,Roman Polanski,Robert Towne,Paramount Pictures
227,,Francis Ford Coppola,Francis Ford Coppola,Francis Ford Coppola,Paramount Pictures
228,,Marvin Worth,Bob Fosse,Julian Barry,Twentieth Century Fox Home Entertainment
229,,Irwin Allen,"John Guillermin, Irwin Allen","Sterling Silliphant, Stirling Silliphant",20th Century Fox
230,,Michael Douglas and Saul Zaentz,Milos Forman,"Bo Goldman, Lawrence Hauben",United Artists
231,,Stanley Kubrick,Stanley Kubrick,Stanley Kubrick,Warner Bros.
232,,Martin Bregman and Martin Elfand,Sidney Lumet,"Frank Pierson, P.F. Kluge",WARNER BROTHERS PICTURES
233,284,Richard D. Zanuck and David Brown,Steven Spielberg,"Howard Sackler, Carl Gottlieb, Peter Benchley",Universal Pictures
234,16835,Richard D. Zanuck and David Brown,Steven Spielberg,"Howard Sackler, Carl Gottlieb, Peter Benchley",Universal Pictures
235,,Robert Altman,Robert Altman,Joan Tewkesbury,Paramount Pictures
236,,Irwin Winkler and Robert Chartoff,John G. Avildsen,Sylvester Stallone,United Artists
237,,Walter Coblenz,Alan J. Pakula,William Goldman,Warner Home Video
238,,Howard Gottfried,Sidney Lumet,Paddy Chayefsky,MGM/United Artists
239,,Michael Phillips and Julia Phillips,Martin Scorsese,Paul Schrader,Columbia Pictures
240,,Charles H. Joffe,Woody Allen,"Woody Allen, Marshall Brickman",United Artists
241,,Ray Stark,Herbert Ross,Neil Simon,MGM Home Entertainment
242,,"Barry Spikings, Michael Deeley, Michael Cimino, and John Peverall",Michael Cimino,"Deric Washburn, Louis Garfinkle, Quinn K. Redeker",Universal Pictures
243,,Warren Beatty,"Warren Beatty, Buck Henry","Elaine May, Warren Beatty",Paramount Home Video
244,,Alan Marshall and David Puttnam,Alan Parker,Oliver Stone,Sony Pictures Home Entertainment
245,,Stanley R. Jaffe,Robert Benton,Robert Benton,Sony Pictures Home Entertainment
246,,"Francis Ford Coppola, Fred Roos, Gray Frederickson, and Tom Sternberg",Francis Ford Coppola,"John Milius, Francis Ford Coppola, Michael Herr",United Artists
247,,Peter Yates,Peter Yates,Steve Tesich,Twentieth Century Fox
248,,Ronald L. Schwary,Robert Redford,Alvin Sargent,Paramount Pictures
249,,Bernard Schwartz,Michael Apted,"Tom Rickman, Thomas Rickman",MCA Universal Home Video
250,,Jonathan Sanger,David Lynch,"Eric Bergren, Christopher De Vore, David Lynch",Paramount
251,,Irwin Winkler and Robert Chartoff,Martin Scorsese,"Paul Schrader, Mardik Martin, Martin Scorsese",United Artists
252,,Claude Berri and Timothy Burrill,Roman Polanski,"Gérard Brach, Roman Polanski, John Brownjohn",Criterion Collection
253,,David Puttnam,Hugh Hudson,Colin Welland,20th Century Fox
254,,Denis Héroux,Louis Malle,John Guare,Paramount Home Video
255,,Bruce Gilbert,Mark Rydell,Ernest Thompson,Twentieth Century Fox Home Entertainment
256,,Frank Marshall,Steven Spielberg,Lawrence Kasdan,Paramount Pictures
257,,Richard Attenborough,Richard Attenborough,"John Briley, Robert Bolt",Columbia Pictures
258,,Sydney Pollack and Dick Richards,Sydney Pollack,"Larry Gelbart, Murray Schisgal, Sydney Pollack",Columbia Pictures
259,,Richard D. Zanuck and David Brown,Sidney Lumet,David Mamet,Twentieth Century Fox Home Entertainment
260,,James L. Brooks,James L. Brooks,James L. Brooks,Paramount Pictures
261,,Michael Shamberg,Lawrence Kasdan,"Barbara Benedek, Lawrence Kasdan",Columbia Pictures
262,,Peter Yates,Peter Yates,"Ronald Harwood, Peter Yates",Sony Pictures Entertainment
263,,Philip S. Hobel,Bruce Beresford,Horton Foote,HBO Video
264,,Saul Zaentz,Milos Forman,Peter Shaffer,Warner Bros. Pictures
265,,David Puttnam,Roland Joffé,Bruce Robinson,Warner Home Video
266,,John Brabourne and Richard B. Goodwin,David Lean,"Santha Rama Rau, David Lean",Sony Pictures Entertainment
267,,Arlene Donovan,Robert Benton,Robert Benton,Twentieth Century Fox Home Entertainment
268,,"Norman Jewison, Ronald L. Schwary, and Patrick Palmer",Norman Jewison,Charles Fuller,Sony Pictures Home Entertainment
269,,Sydney Pollack,Sydney Pollack,"Kurt Luedtke, Kurt Luedtke",Universal Pictures
270,,"Steven Spielberg, Kathleen Kennedy, Frank Marshall, and Quincy Jones",Steven Spielberg,Menno Meyjes,Warner Home Video
271,,David Weisman,Hector Babenco,Leonard Schrader,Strand Releasing
272,,Edward S. Feldman,Peter Weir,"William Kelley, Earl W. Wallace",Paramount Pictures
273,,Arnold Kopelson,Oliver Stone,"Oliver Stone, Richard Boyle",Orion Pictures
274,,Burt Sugarman and Patrick J. Palmer,Randa Haines,"Mark Medoff, Hesper Anderson, Lloyd Fonvielle",Paramount Pictures
275,,Robert Greenhut,Woody Allen,Woody Allen,Orion Pictures
276,,Fernando Ghia and David Puttnam,Roland Joffé,Robert Bolt,Warner Home Video
277,,Jeremy Thomas,Bernardo Bertolucci,Mark Peploe,Columbia Pictures
278,,James L. Brooks,"James L. Brooks, James A. Brooks",James L. Brooks,Twentieth Century Fox Home Entertainment
279,,Stanley R. Jaffe and Sherry Lansing,Adrian Lyne,"James Dearden, Nicholas Meyer",Paramount Pictures
280,,Patrick J. Palmer and Norman Jewison,Norman Jewison,"John Patrick Shanley, Norman Jewison",MGM Home Entertainment
281,,Mark Johnson,Barry Levinson,"Ronald Bass, Barry Morrow, Barry Levinson, David Rayfiel",MGM
